 ID,Name,Created,Updated
312,Äänekoski,2025-01-05T21:16:11.218Z,2025-01-05T21:16:11.218Z
311,Ähtäri,2025-01-05T21:16:03.821Z,2025-01-05T21:16:03.821Z
310,Ypäjä,2025-01-05T21:15:59.829Z,2025-01-05T21:15:59.829Z
309,Ylöjärvi,2025-01-05T21:15:55.440Z,2025-01-05T21:15:55.440Z
308,Ylivieska,2025-01-05T21:15:49.900Z,2025-01-05T21:15:49.900Z
307,Ylitornio,2025-01-05T21:15:45.200Z,2025-01-05T21:15:45.200Z
306,Vöyri,2025-01-05T21:15:40.696Z,2025-01-05T21:15:40.696Z
305,Vårdö,2025-01-05T21:15:35.178Z,2025-01-05T21:15:35.178Z
304,Virrat,2025-01-05T21:15:26.383Z,2025-01-05T21:15:26.383Z
303,Virolahti,2025-01-05T21:15:22.170Z,2025-01-05T21:15:22.170Z
302,Vimpeli,2025-01-05T21:15:17.513Z,2025-01-05T21:15:17.513Z
301,Viitasaari,2025-01-05T21:15:12.188Z,2025-01-05T21:15:12.188Z
300,Vihti,2025-01-05T21:15:06.106Z,2025-01-05T21:15:06.106Z
299,Vieremä,2025-01-05T21:15:01.634Z,2025-01-05T21:15:01.634Z
298,Veteli,2025-01-05T21:14:57.561Z,2025-01-05T21:14:57.561Z
297,Vesilahti,2025-01-05T21:14:53.809Z,2025-01-05T21:14:53.809Z
296,Vesanto,2025-01-05T21:14:43.436Z,2025-01-05T21:14:43.436Z
295,Vehmaa,2025-01-05T21:14:32.231Z,2025-01-05T21:14:32.231Z
294,Varkaus,2025-01-05T21:14:27.859Z,2025-01-05T21:14:27.859Z
293,Vantaa,2025-01-05T21:14:20.753Z,2025-01-05T21:14:20.753Z
292,Valkeakoski,2025-01-05T21:14:16.233Z,2025-01-05T21:14:16.233Z
291,Vaasa,2025-01-05T21:14:11.511Z,2025-01-05T21:14:11.511Z
290,Vaala,2025-01-05T21:14:07.956Z,2025-01-05T21:14:07.956Z
289,Uusikaupunki,2025-01-05T21:14:01.368Z,2025-01-05T21:14:01.368Z
288,Uusikaarlepyy,2025-01-05T21:13:53.153Z,2025-01-05T21:13:53.153Z
287,Uurainen,2025-01-05T21:13:46.738Z,2025-01-05T21:13:46.738Z
286,Utsjoki,2025-01-05T21:13:39.937Z,2025-01-05T21:13:39.937Z
285,Utajärvi,2025-01-05T21:13:31.504Z,2025-01-05T21:13:31.504Z
284,Urjala,2025-01-05T21:13:26.344Z,2025-01-05T21:13:26.344Z
283,Ulvila,2025-01-05T21:13:20.884Z,2025-01-05T21:13:20.884Z
282,Tyrnävä,2025-01-05T21:13:13.575Z,2025-01-05T21:13:13.575Z
281,Tuusula,2025-01-05T21:13:04.938Z,2025-01-05T21:13:04.938Z
280,Tuusniemi,2025-01-05T21:12:56.268Z,2025-01-05T21:12:56.268Z
279,Turku,2025-01-05T21:12:50.017Z,2025-01-05T21:12:50.017Z
278,Tornio,2025-01-05T21:12:45.853Z,2025-01-05T21:12:45.853Z
277,Toivakka,2025-01-05T21:12:41.355Z,2025-01-05T21:12:41.355Z
276,Toholampi,2025-01-05T21:12:36.770Z,2025-01-05T21:12:36.770Z
275,Tohmajärvi,2025-01-05T21:12:31.908Z,2025-01-05T21:12:31.908Z
274,Teuva,2025-01-05T21:12:26.210Z,2025-01-05T21:12:26.210Z
273,Tervola,2025-01-05T21:12:22.548Z,2025-01-05T21:12:22.548Z
272,Tervo,2025-01-05T21:12:16.256Z,2025-01-05T21:12:16.256Z
271,Tammela,2025-01-05T21:12:05.433Z,2025-01-05T21:12:05.433Z
270,Taivassalo,2025-01-05T21:12:01.599Z,2025-01-05T21:12:01.599Z
269,Taivalkoski,2025-01-05T21:11:57.237Z,2025-01-05T21:11:57.237Z
268,Taipalsaari,2025-01-05T21:11:52.261Z,2025-01-05T21:11:52.261Z
267,Säkylä,2025-01-05T21:11:38.774Z,2025-01-05T21:11:38.774Z
266,Sysmä,2025-01-05T21:11:33.391Z,2025-01-05T21:11:33.391Z
265,Suonenjoki,2025-01-05T21:11:28.528Z,2025-01-05T21:11:28.528Z
264,Suomussalmi,2025-01-05T21:11:24.018Z,2025-01-05T21:11:24.018Z
263,Sund,2025-01-05T21:11:18.700Z,2025-01-05T21:11:18.700Z
262,Sulkava,2025-01-05T21:11:15.618Z,2025-01-05T21:11:15.618Z
261,Sottunga,2025-01-05T21:11:11.233Z,2025-01-05T21:11:11.233Z
260,Sotkamo,2025-01-05T21:10:58.841Z,2025-01-05T21:10:58.841Z
259,Sonkajärvi,2025-01-05T21:10:50.545Z,2025-01-05T21:10:50.545Z
258,Somero,2025-01-05T21:10:45.196Z,2025-01-05T21:10:45.196Z
257,Soini,2025-01-05T21:10:41.780Z,2025-01-05T21:10:41.780Z
256,Sodankylä,2025-01-05T21:10:38.201Z,2025-01-05T21:10:38.201Z
255,Siuntio,2025-01-05T21:10:32.608Z,2025-01-05T21:10:32.608Z
254,Sipoo,2025-01-05T21:10:28.708Z,2025-01-05T21:10:28.708Z
253,Simo,2025-01-05T21:10:24.293Z,2025-01-05T21:10:24.293Z
252,Siilinjärvi,2025-01-05T21:10:15.818Z,2025-01-05T21:10:15.818Z
251,Siikalatva,2025-01-05T21:10:07.512Z,2025-01-05T21:10:07.512Z
250,Siikajoki,2025-01-05T21:10:01.533Z,2025-01-05T21:10:01.533Z
249,Siikainen,2025-01-05T21:09:55.521Z,2025-01-05T21:09:55.521Z
248,Sievi,2025-01-05T21:09:47.652Z,2025-01-05T21:09:47.652Z
247,Seinäjoki,2025-01-05T21:09:41.878Z,2025-01-05T21:09:41.878Z
246,Savukoski,2025-01-05T21:09:33.921Z,2025-01-05T21:09:33.921Z
245,Savonlinna,2025-01-05T21:09:25.088Z,2025-01-05T21:09:25.088Z
244,Savitaipale,2025-01-05T21:09:16.858Z,2025-01-05T21:09:16.858Z
243,Sauvo,2025-01-05T21:09:12.377Z,2025-01-05T21:09:12.377Z
242,Sastamala,2025-01-05T21:09:08.102Z,2025-01-05T21:09:08.102Z
241,Saltvik,2025-01-05T21:09:03.414Z,2025-01-05T21:09:03.414Z
240,Salo,2025-01-05T21:08:58.204Z,2025-01-05T21:08:58.204Z
239,Salla,2025-01-05T21:08:52.032Z,2025-01-05T21:08:52.032Z
238,Saarijärvi,2025-01-05T21:08:47.383Z,2025-01-05T21:08:47.383Z
237,Rääkkylä,2025-01-05T21:08:39.810Z,2025-01-05T21:08:39.810Z
236,Rusko,2025-01-05T21:08:34.734Z,2025-01-05T21:08:34.734Z
235,Ruovesi,2025-01-05T21:08:31.168Z,2025-01-05T21:08:31.168Z
234,Ruokolahti,2025-01-05T21:08:25.609Z,2025-01-05T21:08:25.609Z
233,Ristijärvi,2025-01-05T21:06:42.920Z,2025-01-05T21:06:42.920Z
232,Riihimäki,2025-01-05T21:06:37.215Z,2025-01-05T21:06:37.215Z
231,Reisjärvi,2025-01-05T21:06:11.323Z,2025-01-05T21:06:11.323Z
230,Rautjärvi,2025-01-05T21:06:01.528Z,2025-01-05T21:06:01.528Z
229,Rautavaara,2025-01-05T21:05:56.576Z,2025-01-05T21:05:56.576Z
228,Rautalampi,2025-01-05T21:05:49.567Z,2025-01-05T21:05:49.567Z
227,Rauma,2025-01-05T21:05:45.420Z,2025-01-05T21:05:45.420Z
226,Ranua,2025-01-05T21:05:39.446Z,2025-01-05T21:05:39.446Z
225,Rantasalmi,2025-01-05T21:05:36.583Z,2025-01-05T21:05:36.583Z
224,Raisio,2025-01-05T21:05:30.544Z,2025-01-05T21:05:30.544Z
223,Raasepori,2025-01-05T21:05:26.391Z,2025-01-05T21:05:26.391Z
222,Raahe,2025-01-05T21:05:21.490Z,2025-01-05T21:05:21.490Z
221,Pöytyä,2025-01-05T21:05:17.869Z,2025-01-05T21:05:17.869Z
220,Pälkäne,2025-01-05T21:05:12.994Z,2025-01-05T21:05:12.994Z
219,Pyhäranta,2025-01-05T21:04:55.873Z,2025-01-05T21:04:55.873Z
218,Pyhäntä,2025-01-05T21:04:50.014Z,2025-01-05T21:04:50.014Z
217,Pyhäjärvi,2025-01-05T21:04:43.598Z,2025-01-05T21:04:43.598Z
216,Pyhäjoki,2025-01-05T21:04:38.023Z,2025-01-05T21:04:38.023Z
215,Pyhtää,2025-01-05T21:04:33.252Z,2025-01-05T21:04:33.252Z
214,Puumala,2025-01-05T21:04:28.860Z,2025-01-05T21:04:28.860Z
213,Puolanka,2025-01-05T21:04:24.908Z,2025-01-05T21:04:24.908Z
212,Punkalaidun,2025-01-05T21:04:20.553Z,2025-01-05T21:04:20.553Z
211,Pukkila,2025-01-05T21:04:14.145Z,2025-01-05T21:04:14.145Z
210,Pudasjärvi,2025-01-05T21:04:08.835Z,2025-01-05T21:04:08.835Z
209,Posio,2025-01-05T21:04:03.405Z,2025-01-05T21:04:03.405Z
208,Porvoo,2025-01-05T21:04:00.444Z,2025-01-05T21:04:00.444Z
207,Pornainen,2025-01-05T21:03:56.017Z,2025-01-05T21:03:56.017Z
206,Pori,2025-01-05T21:03:51.475Z,2025-01-05T21:03:51.475Z
205,Pomarkku,2025-01-05T21:03:48.011Z,2025-01-05T21:03:48.011Z
204,Polvijärvi,2025-01-05T21:03:40.425Z,2025-01-05T21:03:40.425Z
203,Pirkkala,2025-01-05T21:03:33.492Z,2025-01-05T21:03:33.492Z
202,Pihtipudas,2025-01-05T21:03:28.539Z,2025-01-05T21:03:28.539Z
201,Pietarsaari,2025-01-05T21:03:24.453Z,2025-01-05T21:03:24.453Z
200,Pielavesi,2025-01-05T21:03:18.709Z,2025-01-05T21:03:18.709Z
199,Pieksämäki,2025-01-05T21:03:14.611Z,2025-01-05T21:03:14.611Z
198,Petäjävesi,2025-01-05T21:03:08.812Z,2025-01-05T21:03:08.812Z
197,Pertunmaa,2025-01-05T21:03:02.779Z,2025-01-05T21:03:02.779Z
196,Perho,2025-01-05T21:02:56.920Z,2025-01-05T21:02:56.920Z
195,Pello,2025-01-05T21:02:53.703Z,2025-01-05T21:02:53.703Z
194,Pelkosenniemi,2025-01-05T21:02:50.498Z,2025-01-05T21:02:50.498Z
193,Pedersöre,2025-01-05T21:02:34.768Z,2025-01-05T21:02:34.768Z
192,Parkano,2025-01-05T21:02:28.345Z,2025-01-05T21:02:28.345Z
191,Parikkala,2025-01-05T21:02:23.424Z,2025-01-05T21:02:23.424Z
190,Parainen,2025-01-05T21:02:18.017Z,2025-01-05T21:02:18.017Z
189,Paltamo,2025-01-05T21:02:13.797Z,2025-01-05T21:02:13.797Z
188,Paimio,2025-01-05T21:02:09.109Z,2025-01-05T21:02:09.109Z
187,Padasjoki,2025-01-05T21:01:38.142Z,2025-01-05T21:01:38.142Z
186,Outokumpu,2025-01-05T21:01:31.110Z,2025-01-05T21:01:31.110Z
184,Oulainen,2025-01-05T21:01:21.861Z,2025-01-05T21:01:21.861Z
183,Orivesi,2025-01-05T21:01:17.093Z,2025-01-05T21:01:17.093Z
182,Oripää,2025-01-05T21:01:12.100Z,2025-01-05T21:01:12.100Z
181,Orimattila,2025-01-05T21:01:02.255Z,2025-01-05T21:01:02.255Z
180,Närpiö,2025-01-05T21:00:53.544Z,2025-01-05T21:00:53.544Z
179,Nurmijärvi,2025-01-05T21:00:43.867Z,2025-01-05T21:00:43.867Z
178,Nurmes,2025-01-05T21:00:38.360Z,2025-01-05T21:00:38.360Z
177,Nousiainen,2025-01-05T21:00:34.723Z,2025-01-05T21:00:34.723Z
176,Nokia,2025-01-05T21:00:29.820Z,2025-01-05T21:00:29.820Z
175,Nivala,2025-01-05T21:00:25.641Z,2025-01-05T21:00:25.641Z
174,Nakkila,2025-01-05T21:00:22.121Z,2025-01-05T21:00:22.121Z
173,Naantali,2025-01-05T21:00:17.970Z,2025-01-05T21:00:17.970Z
172,Mäntyharju,2025-01-05T21:00:13.691Z,2025-01-05T21:00:13.691Z
171,Mänttä-Vilppula,2025-01-05T21:00:07.306Z,2025-01-05T21:00:07.306Z
170,Mäntsälä,2025-01-05T21:00:00.724Z,2025-01-05T21:00:00.724Z
169,Myrskylä,2025-01-05T20:59:55.576Z,2025-01-05T20:59:55.576Z
168,Mynämäki,2025-01-05T20:59:50.739Z,2025-01-05T20:59:50.739Z
167,Muurame,2025-01-05T20:59:44.442Z,2025-01-05T20:59:44.442Z
166,Mustasaari,2025-01-05T20:59:40.731Z,2025-01-05T20:59:40.731Z
165,Muonio,2025-01-05T20:59:34.542Z,2025-01-05T20:59:34.542Z
164,Multia,2025-01-05T20:59:29.278Z,2025-01-05T20:59:29.278Z
163,Muhos,2025-01-05T20:50:22.201Z,2025-01-05T20:50:22.201Z
162,Mikkeli,2025-01-05T20:50:16.972Z,2025-01-05T20:50:16.972Z
161,Miehikkälä,2025-01-05T20:50:10.034Z,2025-01-05T20:50:10.034Z
160,Merikarvia,2025-01-05T20:50:01.880Z,2025-01-05T20:50:01.880Z
159,Merijärvi,2025-01-05T20:49:56.538Z,2025-01-05T20:49:56.538Z
158,Masku,2025-01-05T20:49:47.103Z,2025-01-05T20:49:47.103Z
157,Marttila,2025-01-05T20:49:41.237Z,2025-01-05T20:49:41.237Z
156,Maarianhamina,2025-01-05T20:49:36.828Z,2025-01-05T20:49:36.828Z
155,Maalahti,2025-01-05T20:49:27.009Z,2025-01-05T20:49:27.009Z
154,Luumäki,2025-01-05T20:49:20.888Z,2025-01-05T20:49:20.888Z
153,Luoto,2025-01-05T20:49:07.276Z,2025-01-05T20:49:07.276Z
152,Lumparland,2025-01-05T20:49:03.438Z,2025-01-05T20:49:03.438Z
151,Lumijoki,2025-01-05T20:48:58.768Z,2025-01-05T20:48:58.768Z
150,Luhanka,2025-01-05T20:48:54.498Z,2025-01-05T20:48:54.498Z
149,Loviisa,2025-01-05T20:48:48.662Z,2025-01-05T20:48:48.662Z
148,Loppi,2025-01-05T20:48:44.083Z,2025-01-05T20:48:44.083Z
147,Loimaa,2025-01-05T20:48:39.800Z,2025-01-05T20:48:39.800Z
146,Lohja,2025-01-05T20:48:33.104Z,2025-01-05T20:48:33.104Z
145,Liperi,2025-01-05T20:48:25.765Z,2025-01-05T20:48:25.765Z
144,Liminka,2025-01-05T20:48:21.020Z,2025-01-05T20:48:21.020Z
143,Lieto,2025-01-05T20:48:15.846Z,2025-01-05T20:48:15.846Z
142,Lieksa,2025-01-05T20:48:11.319Z,2025-01-05T20:48:11.319Z
141,Lestijärvi,2025-01-05T20:48:05.451Z,2025-01-05T20:48:05.451Z
140,Leppävirta,2025-01-05T20:47:58.662Z,2025-01-05T20:47:58.662Z
139,Lempäälä,2025-01-05T20:47:52.803Z,2025-01-05T20:47:52.803Z
138,Lemland,2025-01-05T20:47:45.247Z,2025-01-05T20:47:45.247Z
137,Lemi,2025-01-05T20:47:41.297Z,2025-01-05T20:47:41.297Z
136,Laukaa,2025-01-05T20:47:37.555Z,2025-01-05T20:47:37.555Z
135,Lapua,2025-01-05T20:47:32.386Z,2025-01-05T20:47:32.386Z
134,Lappeenranta,2025-01-05T20:47:28.545Z,2025-01-05T20:47:28.545Z
133,Lappajärvi,2025-01-05T20:47:22.650Z,2025-01-05T20:47:22.650Z
132,Lapinlahti,2025-01-05T20:47:17.017Z,2025-01-05T20:47:17.017Z
131,Lapinjärvi,2025-01-05T20:47:11.931Z,2025-01-05T20:47:11.931Z
130,Laitila,2025-01-05T20:47:01.918Z,2025-01-05T20:47:01.918Z
